Airline,Flight,To,Status,Scheduled,Updated,Term-Gate
AeroMexico,5125,"Atlanta, GA (ATL)",Scheduled,6:00 AM,6:00 AM,Term TB - 41
Air Canada,585,Calgary (YYC),Scheduled,6:55 AM,,Term A - A12
Air Canada,2402,"Savannah, GA (SAV)",Scheduled,6:50 AM,6:50 AM,Term C - C98
Air Canada,2976,"Norfolk, VA (ORF)",Scheduled,6:00 AM,6:00 AM,Term A - A20
Air Canada,3043,"Memphis, TN (MEM)",Scheduled,6:30 AM,6:30 AM,Term A - A24
Air Canada,3444,"Greensboro, NC (GSO)",Scheduled,6:05 AM,6:05 AM,Term A - A20A
Air Canada,3620,"Portland, ME (PWM)",Scheduled,6:00 AM,6:00 AM,Term A - A26X
Air Canada,5205,"Chicago, IL (ORD)",Scheduled,5:25 AM,5:25 AM,Term C - C72
Air Canada,5299,"West Palm Beach, FL (PBI)",Scheduled,6:00 AM,6:00 AM,Term C - C97
Air Canada,5925,"Chicago, IL (ORD)",Scheduled,6:35 AM,6:35 AM,Term C - C135
Air Canada,7605,Toronto (YYZ),In Air,9:35 PM,11:45 PM,Term A - A11
Air Canada,7649,Toronto (YYZ),Scheduled,6:00 AM,,Term A - A11
Air China,7359,"Los Angeles, CA (LAX)",Scheduled,6:30 AM,6:30 AM,Term C - C137
Air New Zealand,6596,"Houston, TX (IAH)",Cancelled,6:35 AM,,Term C
Air New Zealand,6604,"Houston, TX (IAH)",Scheduled,5:30 AM,5:30 AM,Term C - C75
Air New Zealand,9130,"San Francisco, CA (SFO)",Scheduled,6:00 AM,6:00 AM,Term C - C134
Air New Zealand,9135,"San Francisco, CA (SFO)",Scheduled,6:35 AM,6:35 AM,Term C - C102
Air New Zealand,9535,"Los Angeles, CA (LAX)",Scheduled,6:30 AM,6:30 AM,Term C - C137
Alaska Airlines,31,"Seattle, WA (SEA)",Scheduled,7:00 AM,7:00 AM,Term A - A30
Alaska Airlines,8248,"Chicago, IL (ORD)",Scheduled,7:00 AM,,Term A - A39
American Airlines,227,"Phoenix, AZ (PHX)",Scheduled,6:50 AM,,Term A - A38
American Airlines,1301,"Miami, FL (MIA)",Scheduled,6:00 AM,,Term A - 35
American Airlines,1723,"Charlotte, NC (CLT)",Scheduled,6:30 AM,,Term A - A37
American Airlines,2316,"Chicago, IL (ORD)",Scheduled,7:00 AM,,Term A - A39
American Airlines,2321,"Dallas-Fort Worth, TX (DFW)",Scheduled,6:25 AM,,Term A - 34
American Airlines,2622,"Charlotte, NC (CLT)",Scheduled,5:00 AM,,Term A - A37
American Airlines,8942,Hong Kong (HKG),Scheduled,1:45 AM,1:45 AM,Term TB - 55
Asiana Airlines,6261,"Los Angeles, CA (LAX)",Scheduled,6:30 AM,6:30 AM,Term C - C137
Asiana Airlines,9544,"Seattle, WA (SEA)",Scheduled,6:00 AM,6:00 AM,Term C - C81
Avianca,2135,"Washington, DC (IAD)",Scheduled,6:05 AM,6:05 AM,Term C - C109
British Airways,2537,"Miami, FL (MIA)",Scheduled,6:00 AM,,Term A - 35
Cathay Pacific,899,Hong Kong (HKG),Scheduled,1:45 AM,1:45 AM,Term TB - 55
Copa Airlines,1154,"Albany, NY (ALB)",Departed,9:20 PM,1:00 AM,Term C - C130V
