Airline,Flight,To,Status,Scheduled,Updated,Term-Gate
Aer Lingus,5016,"Boston, MA (BOS)",Arrived,11:38 PM,11:59 PM,Term 5 - 01
Aer Lingus,5028,"Buffalo, NY (BUF)",In Air,10:50 PM,12:15 AM,Term 5 - 20
Aer Lingus,5066,"Rochester, NY (ROC)",Landed,10:50 PM,10:47 PM,Term 5 - 16
Aer Lingus,5340,San Juan (SJU),In Air,11:50 PM,11:48 PM,Term 5 - 25
Aeroflot Airlines,123,Moscow (SVO),Scheduled,1:00 AM,1:00 AM,Term 1
AeroMexico,401,Mexico City (MEX),Scheduled,2:01 AM,2:01 AM,Term 4
AeroMexico,405,Mexico City (MEX),Scheduled,7:01 AM,7:01 AM,Term 4
AeroMexico,5271,"Rochester, NY (ROC)",In Air,9:10 PM,10:47 PM,Term 4 - B53
AeroMexico,5424,"Baltimore, MD (BWI)",Delayed,9:30 PM,7:00 AM,Term 4 - B48
AeroMexico,5498,"Boston, MA (BOS)",Scheduled,7:00 AM,,Term 4 - B47
AeroMexico,5514,"Atlanta, GA (ATL)",Scheduled,6:10 AM,,Term 4 - B39
AeroMexico,7862,Tel Aviv (TLV),In Air,11:50 PM,11:40 PM,Term 4
Air Europa,3306,"Detroit, MI (DTW)",Delayed,7:00 PM,6:00 AM,Term 4 - B43
Air Europa,3406,Malaga (AGP),In Air,11:25 PM,11:18 PM,Term 4 - B24
Air France,9,Paris (CDG),In Air,11:25 PM,11:44 PM,Term 1
Air France,11,Paris (CDG),In Air,9:50 PM,11:32 PM,Term 1
Air France,2169,"Detroit, MI (DTW)",Delayed,7:00 PM,6:00 AM,Term 4 - B43
Air France,3645,Malaga (AGP),In Air,11:25 PM,11:18 PM,Term 4 - B24
Air France,3657,Dublin (DUB),In Air,10:11 PM,12:35 AM,Term 4 - B25
Air France,9488,"Rochester, NY (ROC)",In Air,9:10 PM,10:47 PM,Term 4 - B53
Alaska Airlines,1399,"Los Angeles, CA (LAX)",Scheduled,7:00 AM,,Term T4 - A2
Alitalia,3122,"Rochester, NY (ROC)",In Air,9:10 PM,10:47 PM,Term 4 - B53
Alitalia,3719,Paris (CDG),In Air,9:50 PM,11:32 PM,Term 1
Alitalia,3720,Paris (CDG),In Air,11:25 PM,11:44 PM,Term 1
All Nippon Airways,7817,Bogota (BOG),Departed,1:10 AM,1:14 AM,Term 4
All Nippon Airways,7833,San Salvador (SAL),Scheduled,4:40 AM,,Term 4
American Airlines,9,"San Francisco, CA (SFO)",Scheduled,7:00 AM,,Term 8 - 40
American Airlines,33,"Los Angeles, CA (LAX)",Scheduled,7:00 AM,,Term 8 - 4
American Airlines,171,"Los Angeles, CA (LAX)",Scheduled,6:00 AM,,Term 8 - 38
American Airlines,1572,"Phoenix, AZ (PHX)",Scheduled,6:23 AM,,Term 8 - 1
American Airlines,2175,Port Au Prince (PAP),Scheduled,7:10 AM,,Term 8 - 12
American Airlines,2218,"Charlotte, NC (CLT)",Scheduled,6:30 AM,,Term 8 - 44
American Airlines,2230,"Miami, FL (MIA)",Scheduled,6:30 AM,,Term 8 - 36
American Airlines,7643,Guayaquil (GYE),In Air,12:45 AM,12:34 AM,Term 8
American Airlines,7739,Lima (LIM),In Air,11:25 PM,11:15 PM,Term 8
American Airlines,8646,Madrid (MAD),In Air,9:00 PM,11:16 PM,Term 7
American Airlines,8927,Hong Kong (HKG),Departed,1:35 AM,1:19 AM,Term 8
Asiana Airlines,587,Brussels (BRU),Scheduled,3:15 AM,3:15 AM,
Asiana Airlines,588,Brussels (BRU),Scheduled,3:15 AM,3:15 AM,
Asiana Airlines,9456,Panama City (PTY),Scheduled,1:55 AM,,Term 4 - B31
Avianca,245,Bogota (BOG),Departed,1:10 AM,1:14 AM,Term 4
Avianca,671,San Salvador (SAL),Scheduled,4:40 AM,,Term 4
Avianca,4506,Taipei (TPE),Scheduled,1:25 AM,1:25 AM,Term 1
Avianca,5043,Medellin (MDE),Scheduled,2:30 AM,2:30 AM,
British Airways,2466,"San Francisco, CA (SFO)",Scheduled,7:00 AM,,Term 8 - 40
British Airways,4268,Madrid (MAD),In Air,9:00 PM,11:16 PM,Term 7
British Airways,4310,"Los Angeles, CA (LAX)",Scheduled,6:00 AM,,Term 8 - 38
British Airways,4352,"Miami, FL (MIA)",Scheduled,6:30 AM,,Term 8 - 36
Caribbean Airlines Limited,10,Montego Bay (MBJ),Scheduled,7:15 AM,7:15 AM,Term 4
Caribbean Airlines Limited,16,Kingston (KIN),Scheduled,2:10 AM,2:10 AM,Term 4
Caribbean Airlines Limited,527,Georgetown (GEO),Scheduled,1:25 AM,1:25 AM,Term 4
Caribbean Airlines Limited,551,Port Of Spain (POS),In Air,12:50 AM,12:50 AM,Term 4
Cathay Pacific,845,Hong Kong (HKG),Departed,1:35 AM,1:19 AM,Term 8
Cathay Pacific,7515,"Miami, FL (MIA)",Scheduled,6:30 AM,,Term 8 - 36
Cathay Pacific,7821,Lima (LIM),In Air,11:25 PM,11:15 PM,Term 8
China Airlines,11,Taipei (TPE),Scheduled,1:35 AM,1:35 AM,Term 4
China Eastern Airlines,298,Shanghai (PVG),Scheduled,1:45 AM,1:45 AM,Term 1
China Eastern Airlines,3885,"Los Angeles, CA (LAX)",Scheduled,7:00 AM,,Term T4 - A2
China Eastern Airlines,4358,"Salt Lake City, UT (SLC)",Scheduled,7:05 AM,,Term 4 - B23
China Southern Airlines,600,Guangzhou (CAN),Scheduled,1:45 AM,1:45 AM,Term 4
China Southern Airlines,1017,"Boston, MA (BOS)",Scheduled,7:00 AM,,Term 4 - B47
China Southern Airlines,1927,"Los Angeles, CA (LAX)",Scheduled,7:00 AM,,Term T4 - A2
Copa Airlines,807,Panama City (PTY),Scheduled,1:55 AM,,Term 4 - B31
Delta Air Lines,44,Dublin (DUB),In Air,10:11 PM,12:35 AM,Term 4 - B25
Delta Air Lines,424,"Los Angeles, CA (LAX)",Scheduled,7:00 AM,,Term 4 - B32
Delta Air Lines,426,"San Francisco, CA (SFO)",Scheduled,7:00 AM,,Term 4 - B36
Delta Air Lines,443,"Atlanta, GA (ATL)",Scheduled,6:10 AM,,Term 4 - B39
