Airline,Flight,To,Status,Scheduled,Updated,Term-Gate
AeroMexico,4686,"Detroit, MI (DTW)",Scheduled,6:00 AM,,Term C - C20
AeroMexico,5017,"Atlanta, GA (ATL)",Scheduled,6:00 AM,,Term D - D09
AeroMexico,5619,"Atlanta, GA (ATL)",Scheduled,7:00 AM,,Term D - D09
Air Canada,701,Toronto (YYZ),Scheduled,6:30 AM,,Term B - A7
Air Canada,7631,Montreal (YUL),Scheduled,6:40 AM,,Term B - A1
Air New Zealand,6686,"Houston, TX (IAH)",Scheduled,5:45 AM,5:45 AM,Term B - C5
Alaska Airlines,3321,"Dallas, TX (DAL)",Scheduled,7:00 AM,7:00 AM,Term B - C6
Alaska Airlines,6447,"Chicago, IL (ORD)",In Air,8:30 PM,11:15 PM,Term B - D3
Alaska Airlines,8161,"Chicago, IL (ORD)",Scheduled,6:30 AM,,Term B - D7
All Nippon Airways,7555,"Washington, DC (IAD)",Scheduled,6:05 AM,6:05 AM,Term B - C7
American Airlines,125,"Dallas-Fort Worth, TX (DFW)",Scheduled,6:03 AM,,Term B - D10
American Airlines,129,"Orlando, FL (MCO)",Scheduled,5:59 AM,,Term B - D8
American Airlines,263,"Dallas-Fort Worth, TX (DFW)",Scheduled,7:00 AM,,Term B - D5
American Airlines,304,"Chicago, IL (ORD)",Scheduled,6:30 AM,,Term B - D7
American Airlines,371,"Chicago, IL (ORD)",In Air,8:30 PM,11:15 PM,Term B - D3
American Airlines,461,"Charlotte, NC (CLT)",Scheduled,6:15 AM,,Term C - C37
American Airlines,1399,"Miami, FL (MIA)",Scheduled,6:00 AM,,Term B - D1
American Airlines,1841,"Philadelphia, PA (PHL)",Scheduled,6:29 AM,,Term C - C35
American Airlines,2115,"Washington, DC (DCA)",Scheduled,5:59 AM,,Term C - C41
American Airlines,2126,"Boston, MA (BOS)",Scheduled,6:00 AM,,Term C - C39
American Airlines,2152,"Boston, MA (BOS)",Scheduled,7:00 AM,,Term C - C39
American Airlines,2266,"Miami, FL (MIA)",Scheduled,6:59 AM,,Term B - D6
American Airlines,3719,"Detroit, MI (DTW)",Scheduled,6:40 AM,,Term B - C2
American Airlines,3819,"Raleigh/Durham, NC (RDU)",Scheduled,6:29 AM,,Term B - D2B
