Airlines,IATA Code,Newark
Aer Lingus,EI,Terminal B
Air Canada,AC,Terminal A
Air China,CA,Terminal B
Air India,AI,Terminal B
Alaska Airlines,AS,Terminal A
Allegiant,G4,Terminal B
American Airlines,AA,Terminal A
Austrian Airlines,OS,Terminal B
British Airways,BA,Terminal B
Cathay Pacific,CX,Terminal B
Delta,DL,Terminal B
El Al,LY,Terminal B
Elite Airways,7Q,Terminal B
Emirates,EK,Terminal B
Ethiopian Airlines,ET,Terminal B
Icelandair,Fl,Terminal B
JetBlue,B6,Terminal A
La Compagnie,B0,Terminal B
LOT- Polish Airlines,LO,Terminal B
Lufthansa,LH,Terminal B
Norwegian Airlines,D8,Terminal B
OpenSkies,EC,Terminal B
Porter Airlines,PD,Terminal B
SAS,SK,Terminal B
Southwest,WN,Terminal A
Spirit,NK,Terminal B
SWISS,LX,Terminal B
TAP Portugal,TP,Terminal B
United,UA,Terminal C
United Express,UA,Terminal A
United Express,UA,Terminal C
Virgin America,VX,Terminal A
Virgin Atlantic,VS,Terminal B
WOW AIR,WW,Terminal B
